bit,ndummy,ndummy_effective,iters,rc5,miss_per_iter,seconds
16,75,77,2000000,4051,0.002025500,
16,76,78,2000000,3953,0.001976500,
16,77,79,2000000,4006,0.002003000,
16,78,80,2000000,3719,0.001859500,
16,79,81,2000000,3913,0.001956500,
16,80,82,2000000,3981,0.001990500,
16,81,83,2000000,3958,0.001979000,
16,82,84,2000000,3903,0.001951500,
16,83,85,2000000,1004582,0.502291000,
16,84,86,2000000,1003454,0.501727000,
16,85,87,2000000,1004035,0.502017500,
16,86,88,2000000,1004204,0.502102000,
16,87,89,2000000,1003812,0.501906000,
16,88,90,2000000,1003905,0.501952500,
16,89,91,2000000,1004452,0.502226000,
16,90,92,2000000,1003988,0.501994000,
16,91,93,2000000,1004252,0.502126000,
16,92,94,2000000,1004563,0.502281500,
16,93,95,2000000,1003742,0.501871000,
16,94,96,2000000,1003505,0.501752500,
16,95,97,2000000,1002984,0.501492000,
16,96,98,2000000,1002651,0.501325500,
16,97,99,2000000,1003361,0.501680500,
16,98,100,2000000,1003367,0.501683500,
16,99,101,2000000,1003366,0.501683000,
16,100,102,2000000,1003301,0.501650500,
17,65,67,2000000,3846,0.001923000,
17,66,68,2000000,3865,0.001932500,
17,67,69,2000000,3830,0.001915000,
17,68,70,2000000,3922,0.001961000,
17,69,71,2000000,4062,0.002031000,
17,70,72,2000000,4008,0.002004000,
17,71,73,2000000,4063,0.002031500,
17,72,74,2000000,4054,0.002027000,
17,73,75,2000000,4192,0.002096000,
17,74,76,2000000,3851,0.001925500,
17,75,77,2000000,3922,0.001961000,
17,76,78,2000000,3982,0.001991000,
17,77,79,2000000,5047,0.002523500,
17,78,80,2000000,4095,0.002047500,
17,79,81,2000000,3955,0.001977500,
17,80,82,2000000,3899,0.001949500,
17,81,83,2000000,3886,0.001943000,
17,82,84,2000000,1004225,0.502112500,
17,83,85,2000000,1003728,0.501864000,
17,84,86,2000000,1003648,0.501824000,
17,85,87,2000000,1004088,0.502044000,
17,86,88,2000000,1003669,0.501834500,
17,87,89,2000000,1003838,0.501919000,
17,88,90,2000000,1004775,0.502387500,
17,89,91,2000000,1004284,0.502142000,
17,90,92,2000000,1003899,0.501949500,
17,91,93,2000000,1004379,0.502189500,
17,92,94,2000000,1004125,0.502062500,
17,93,95,2000000,1003764,0.501882000,
17,94,96,2000000,1003593,0.501796500,
17,95,97,2000000,1003388,0.501694000,
17,96,98,2000000,1003039,0.501519500,
17,97,99,2000000,1003546,0.501773000,
17,98,100,2000000,1003363,0.501681500,
17,99,101,2000000,1003320,0.501660000,
17,100,102,2000000,1003082,0.501541000,
18,65,67,2000000,4183,0.002091500,
18,66,68,2000000,4206,0.002103000,
18,67,69,2000000,3818,0.001909000,
18,68,70,2000000,4144,0.002072000,
18,69,71,2000000,3944,0.001972000,
18,70,72,2000000,3993,0.001996500,
18,71,73,2000000,4060,0.002030000,
18,72,74,2000000,4126,0.002063000,
18,73,75,2000000,3956,0.001978000,
18,74,76,2000000,3987,0.001993500,
18,75,77,2000000,4264,0.002132000,
18,76,78,2000000,3934,0.001967000,
18,77,79,2000000,3893,0.001946500,
18,78,80,2000000,3986,0.001993000,
18,79,81,2000000,5011,0.002505500,
18,80,82,2000000,3876,0.001938000,
18,81,83,2000000,1004106,0.502053000,
18,82,84,2000000,1004680,0.502340000,
18,83,85,2000000,1003903,0.501951500,
18,84,86,2000000,1003724,0.501862000,
18,85,87,2000000,1003406,0.501703000,
18,86,88,2000000,1003416,0.501708000,
18,87,89,2000000,1003453,0.501726500,
18,88,90,2000000,1003703,0.501851500,
18,89,91,2000000,1003949,0.501974500,
18,90,92,2000000,1004561,0.502280500,
18,91,93,2000000,1004308,0.502154000,
18,92,94,2000000,1003735,0.501867500,
18,93,95,2000000,1003749,0.501874500,
18,94,96,2000000,1004685,0.502342500,
18,95,97,2000000,1003345,0.501672500,
18,96,98,2000000,1003269,0.501634500,
18,97,99,2000000,1002839,0.501419500,
18,98,100,2000000,1002986,0.501493000,
18,99,101,2000000,1003115,0.501557500,
18,100,102,2000000,1003193,0.501596500,
19,65,67,2000000,4092,0.002046000,
19,66,68,2000000,4068,0.002034000,
19,67,69,2000000,4001,0.002000500,
19,68,70,2000000,3945,0.001972500,
19,69,71,2000000,4165,0.002082500,
19,70,72,2000000,3910,0.001955000,
19,71,73,2000000,4872,0.002436000,
19,72,74,2000000,3898,0.001949000,
19,73,75,2000000,4075,0.002037500,
19,74,76,2000000,4099,0.002049500,
19,75,77,2000000,4068,0.002034000,
19,76,78,2000000,4037,0.002018500,
19,77,79,2000000,3964,0.001982000,
19,78,80,2000000,4009,0.002004500,
19,79,81,2000000,4758,0.002379000,
19,80,82,2000000,1004857,0.502428500,
19,81,83,2000000,1004372,0.502186000,
19,82,84,2000000,1004360,0.502180000,
19,83,85,2000000,1004100,0.502050000,
19,84,86,2000000,1004353,0.502176500,
19,85,87,2000000,1003565,0.501782500,
19,86,88,2000000,1003280,0.501640000,
19,87,89,2000000,1004029,0.502014500,
19,88,90,2000000,1004419,0.502209500,
19,89,91,2000000,1003671,0.501835500,
19,90,92,2000000,1004940,0.502470000,
19,91,93,2000000,1003637,0.501818500,
19,92,94,2000000,1003959,0.501979500,
19,93,95,2000000,1003855,0.501927500,
19,94,96,2000000,1003344,0.501672000,
19,95,97,2000000,1003710,0.501855000,
19,96,98,2000000,1002677,0.501338500,
19,97,99,2000000,1003475,0.501737500,
19,98,100,2000000,1003297,0.501648500,
19,99,101,2000000,1003121,0.501560500,
19,100,102,2000000,1003497,0.501748500,
20,65,67,2000000,4809,0.002404500,
20,66,68,2000000,4120,0.002060000,
20,67,69,2000000,3809,0.001904500,
20,68,70,2000000,3959,0.001979500,
20,69,71,2000000,4001,0.002000500,
20,70,72,2000000,3991,0.001995500,
20,71,73,2000000,3967,0.001983500,
20,72,74,2000000,4197,0.002098500,
20,73,75,2000000,3997,0.001998500,
20,74,76,2000000,4496,0.002248000,
20,75,77,2000000,4135,0.002067500,
20,76,78,2000000,3894,0.001947000,
20,77,79,2000000,4241,0.002120500,
20,78,80,2000000,4020,0.002010000,
20,79,81,2000000,1004630,0.502315000,
20,80,82,2000000,1003942,0.501971000,
20,81,83,2000000,1003411,0.501705500,
20,82,84,2000000,1004172,0.502086000,
